year,month,a0,a1,a2,a3
2004,6,0,0.934999595442539,0.0604603224034384,0.00454008215402297
2006,6,0,0.986946165059931,0.0130171470837866,3.66878562810839e-05
2007,7,0,0.904211027810823,0.0930875278721152,0.00270144431705979
2009,7,0,0.772471595679319,0.181708525466377,0.0458198788543051
2010,7,0.193718871248765,0.718497375687309,0.0840721045480231,0.00371164851590302
2013,8,0.292820788352005,0.651859486744947,0.0553197249030475,0
2014,7,0.0268976921402138,0.954760430167571,0.0183418776922161,0
2015,7,0.601164922453024,0.393804803200812,0.00503027434616356,0
2016,7,0.452096190980599,0.451743390646235,0.0961604183731641,0
2017,7,0.670798164832363,0.304936163220194,0.0242656719474409,0
2018,7,0.4596601701479,0.525359548795047,0.0149802810570521,0
2019,7,0.423048173477168,0.552579630682249,0.0243721958405832,0
2020,8,0.735995160240412,0.257291143051935,0.00671369670765533,0
2023,7,0.76976910683444,0.22439870840756,0.0058321847579987,0
